2026-02-05 10:36:34 | S1: 27 locuri (balance=2700.00) | S2: 3 locuri (balance=600.00) | S3: 7 locuri (balance=1050.00) | Total balance=4350.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:36:44 | S1: 40 locuri (balance=4000.00) | S2: 20 locuri (balance=4000.00) | S3: 25 locuri (balance=3750.00) | Total balance=11750.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:36:54 | S1: 42 locuri (balance=4200.00) | S2: 30 locuri (balance=6000.00) | S3: 38 locuri (balance=5700.00) | Total balance=15900.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:37:04 | S1: 52 locuri (balance=5200.00) | S2: 40 locuri (balance=8000.00) | S3: 41 locuri (balance=6150.00) | Total balance=19350.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:37:14 | S1: 54 locuri (balance=5400.00) | S2: 41 locuri (balance=8200.00) | S3: 43 locuri (balance=6450.00) | Total balance=20050.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:37:24 | S1: 61 locuri (balance=6100.00) | S2: 41 locuri (balance=8200.00) | S3: 50 locuri (balance=7500.00) | Total balance=21800.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:37:34 | S1: 62 locuri (balance=6200.00) | S2: 45 locuri (balance=9000.00) | S3: 54 locuri (balance=8100.00) | Total balance=23300.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:37:44 | S1: 65 locuri (balance=6500.00) | S2: 47 locuri (balance=9400.00) | S3: 57 locuri (balance=8550.00) | Total balance=24450.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:37:54 | S1: 66 locuri (balance=6600.00) | S2: 54 locuri (balance=10800.00) | S3: 57 locuri (balance=8550.00) | Total balance=25950.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:38:04 | S1: 66 locuri (balance=6600.00) | S2: 59 locuri (balance=11800.00) | S3: 58 locuri (balance=8700.00) | Total balance=27100.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:38:14 | S1: 71 locuri (balance=7100.00) | S2: 64 locuri (balance=12800.00) | S3: 62 locuri (balance=9300.00) | Total balance=29200.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:38:24 | S1: 72 locuri (balance=7200.00) | S2: 68 locuri (balance=13600.00) | S3: 65 locuri (balance=9750.00) | Total balance=30550.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:38:34 | S1: 72 locuri (balance=7200.00) | S2: 70 locuri (balance=14000.00) | S3: 71 locuri (balance=10650.00) | Total balance=31850.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:38:44 | S1: 74 locuri (balance=7400.00) | S2: 72 locuri (balance=14400.00) | S3: 71 locuri (balance=10650.00) | Total balance=32450.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:38:54 | S1: 76 locuri (balance=7600.00) | S2: 73 locuri (balance=14600.00) | S3: 74 locuri (balance=11100.00) | Total balance=33300.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:39:04 | S1: 76 locuri (balance=7600.00) | S2: 76 locuri (balance=15200.00) | S3: 74 locuri (balance=11100.00) | Total balance=33900.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:39:14 | S1: 76 locuri (balance=7600.00) | S2: 77 locuri (balance=15400.00) | S3: 75 locuri (balance=11250.00) | Total balance=34250.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:39:24 | S1: 77 locuri (balance=7700.00) | S2: 79 locuri (balance=15800.00) | S3: 76 locuri (balance=11400.00) | Total balance=34900.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:39:34 | S1: 77 locuri (balance=7700.00) | S2: 79 locuri (balance=15800.00) | S3: 77 locuri (balance=11550.00) | Total balance=35050.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-05 10:39:34 | S1: 77 locuri (balance=7700.00) | S2: 79 locuri (balance=15800.00) | S3: 77 locuri (balance=11550.00) | Total balance=35050.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
