98,9
160,10
162,2
198,2
84,3
124,2
174,9
61,2
65,4
157,2
184,10
71,5
115,3
58,8
1,9
46,8
100,6
37,5
150,1
116,10
114,7
16,10
77,4
78,10
164,9
11,8
7,5
34,1
138,10
44,9
20,3
153,4
176,2
36,4
185,10
5,1
51,9
88,6
20,7
67,3
26,7
45,1
94,8
130,4
189,2
19,9
192,2
90,9
89,10
59,5
38,2
118,10
178,3
56,7
86,1
90,5
31,6
73,4
97,6
196,5
178,9
21,8
105,2
22,4
164,3
37,5
113,1
170,3
172,4
157,10
136,1
20,1
49,7
66,8
37,10
148,4
35,5
164,5
123,5
24,2
37,9
110,4
110,2
14,9
54,4
105,3
132,4
159,9
42,10
108,7
181,2
28,3
197,2
166,2
163,9
29,8
112,2
113,2
146,6
13,3
33,5
49,8
192,10
7,10
135,7
139,3
22,7
179,10
108,8
150,9
68,8
129,1
105,6
28,5
120,9
116,6
132,4
97,10
184,3
175,6
148,10
170,7
178,10
155,5
123,6
80,8
187,10
167,9
51,3
18,3
85,4
126,5
