103,4
190,9
199,15
144,28
48,7
9,28
96,12
156,6
75,25
47,22
49,29
31,41
196,28
7,15
116,50
119,19
17,22
149,24
93,24
88,20
3,11
50,15
89,34
86,30
59,9
112,58
172,37
133,47
12,12
145,41
38,5
174,40
191,46
150,14
178,48
105,47
72,4
95,8
39,14
97,47
141,28
74,27
76,29
179,46
107,18
161,18
151,13
24,38
61,38
106,25
170,42
45,43
165,20
98,41
81,12
67,58
127,57
173,36
184,33
122,24
78,32
189,27
14,32
181,21
30,32
94,18
22,30
187,56
139,15
180,18
21,37
69,10
4,26
64,7
155,29
2,10
43,10
28,37
158,60
143,31
159,38
23,25
56,56
34,15
68,28
10,24
176,32
126,16
198,26
13,36
200,32
188,15
37,69
162,26
11,66
177,22
79,15
19,30
154,68
83,34
51,85
29,60
46,32
71,36
140,7
91,29
193,26
167,33
53,39
114,47
169,29
77,18
42,32
16,41
90,70
20,52
166,16
63,39
160,54
147,22
104,40
131,44
55,46
108,63
153,36
125,38
132,36
186,60
142,50
115,20
168,38
194,12
195,17
80,35
171,39
35,24
120,27
118,45
101,28
102,75
6,21
121,21
137,35
54,43
41,32
25,36
84,18
99,41
40,33
15,40
146,41
175,33
57,67
62,39
134,9
109,37
73,21
129,27
130,46
70,34
117,32
32,55
148,60
197,44
60,28
183,45
163,42
27,31
92,23
152,20
192,62
136,40
135,48
87,38
44,50
65,31
164,54
85,49
5,51
110,49
111,33
26,63
36,46
1,41
182,22
8,8
123,50
128,33
18,24
138,37
33,72
82,65
157,70
52,19
124,27
58,42
66,29
113,35
185,43
100,61
